municipio,anio,seccion,partido,votos,porcentaje,votos_positivos,participacion_pct,intendente_electo,total_electores
BERISSO,2017,3,"ALIANZA FRENTE DE IZQUIERDA Y DE LOS",3633,5.99,60689,76,"",79857
BERISSO,2017,3,"ALIANZA IZQUIERDA AL FRENTE POR EL",688,1.13,60689,76,"",79857
BERISSO,2019,3,"FRENTE DE TODOS",38617,61.26,63038,77.16,"Fabián Gustavo CAGLIARDI",81700
BERISSO,2019,3,"JUNTOS POR EL CAMBIO",18678,29.63,63038,77.16,"Fabián Gustavo CAGLIARDI",81700
BERISSO,2019,3,"CONSENSO FEDERAL",3677,5.83,63038,77.16,"Fabián Gustavo CAGLIARDI",81700
BERISSO,2019,3,"FTE DE IZQ. Y DE TRABAJADORES-UNIDAD",2066,3.28,63038,77.16,"Fabián Gustavo CAGLIARDI",81700
BERISSO,2021,3,"FRENTE DE TODOS",24709,41.38,59714,72.23,"",82676
BERISSO,2021,3,"ALIANZA JUNTOS",20097,33.66,59714,72.23,"",82676
BERISSO,2021,3,"FRENTE DE IZQUIERDA Y DE TRABAJADORES -",5423,9.08,59714,72.23,"",82676
BERISSO,2021,3,"ALIANZA AVANZA LIBERTAD",4189,7.02,59714,72.23,"",82676
BERISSO,2021,3,"FRENTE VAMOS CON VOS",3721,6.23,59714,72.23,"",82676
BERISSO,2021,3,"PARTIDO UNION CELESTE Y BLANCO",1575,2.64,59714,72.23,"",82676
BERISSO,2023,3,"UNION POR LA PATRIA",29239,46.94,62290,71.69,"Fabián Gustavo CAGLIARDI",86887
BERISSO,2023,3,"JUNTOS POR EL CAMBIO",15728,25.25,62290,71.69,"Fabián Gustavo CAGLIARDI",86887
BERISSO,2023,3,"LA LIBERTAD AVANZA",11956,19.19,62290,71.69,"Fabián Gustavo CAGLIARDI",86887
BERISSO,2023,3,"PARTIDO TODOS POR BUENOS AIRES",2896,4.65,62290,71.69,"Fabián Gustavo CAGLIARDI",86887
BERISSO,2023,3,"FRENTE DE IZQUIERDA Y TRABAJADORES UNIDAD",2471,3.97,62290,71.69,"Fabián Gustavo CAGLIARDI",86887
BERISSO,2025,3,"ALIANZA FUERZA PATRIA",25936,46.88,55322,62.2,"",88947
BERISSO,2025,3,"ALIANZA LA LIBERTAD AVANZA",17152,31,55322,62.2,"",88947
BERISSO,2025,3,"ALIANZA SOMOS BUENOS AIRES",5540,10.01,55322,62.2,"",88947
BERISSO,2025,3,"FTE. DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",4025,7.28,55322,62.2,"",88947
BERISSO,2025,3,"ALIANZA UNION Y LIBERTAD",1236,2.23,55322,62.2,"",88947
BERISSO,2025,3,"ALIANZA POTENCIA",627,1.13,55322,62.2,"",88947
BERISSO,2025,3,"PARTIDO FRENTE PATRIOTA FEDERAL",404,0.73,55322,62.2,"",88947
BERISSO,2025,3,"PARTIDO POLITICA OBRERA",402,0.73,55322,62.2,"",88947
BOLIVAR,2013,7,"ALIANZA FRENTE PARA LA VICTORIA",9752,42.57,22906,78.97,"",29005
BOLIVAR,2013,7,"FRENTE PROGRESISTA CIVICO Y SOCIAL",8697,37.97,22906,78.97,"",29005
BOLIVAR,2013,7,"UNION POPULAR",3121,13.63,22906,78.97,"",29005
BOLIVAR,2013,7,"FRENTE RENOVADOR",970,4.23,22906,78.97,"",29005
BOLIVAR,2013,7,"UNIDOS POR LA LIBERTAD Y EL TRABAJO",366,1.6,22906,78.97,"",29005
BOLIVAR,2015,7,"ALIANZA FRENTE PARA LA VICTORIA",12453,54.6,22806,76.5,"Eduardo Lujan BUCCA",29812
BOLIVAR,2015,7,"ALIANZA CAMBIEMOS BUENOS AIRES",8521,37.36,22806,76.5,"Eduardo Lujan BUCCA",29812
BOLIVAR,2015,7,"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA",1530,6.71,22806,76.5,"Eduardo Lujan BUCCA",29812
BOLIVAR,2015,7,"ALIANZA PROGRESISTAS",302,1.32,22806,76.5,"Eduardo Lujan BUCCA",29812
BOLIVAR,2017,7,"ALIANZA CAMBIEMOS BUENOS AIRES",10423,45.88,22716,74.8,"",30369
BOLIVAR,2017,7,"ALIANZA FRENTE JUSTICIALISTA",6670,29.36,22716,74.8,"",30369
BOLIVAR,2017,7,"ALIANZA UNIDAD CIUDADANA",2401,10.57,22716,74.8,"",30369
BOLIVAR,2017,7,"ALIANZA IZQUIERDA AL FRENTE POR EL",2209,9.72,22716,74.8,"",30369
BOLIVAR,2017,7,"ALIANZA 1 PAIS",1013,4.46,22716,74.8,"",30369
BOLIVAR,2019,7,"FRENTE DE TODOS",13780,57.85,23821,77.39,"Marcos Emilio PISANO",30782
BOLIVAR,2019,7,"JUNTOS POR EL CAMBIO",9191,38.58,23821,77.39,"Marcos Emilio PISANO",30782
BOLIVAR,2019,7,"FTE DE IZQ. Y DE TRABAJADORES-UNIDAD",850,3.57,23821,77.39,"Marcos Emilio PISANO",30782
BOLIVAR,2021,7,"ALIANZA JUNTOS",9824,44.56,22047,70.43,"",31302
BOLIVAR,2021,7,"FRENTE DE TODOS",8658,39.27,22047,70.43,"",31302
BOLIVAR,2021,7,"FRENTE DE IZQUIERDA Y DE TRABAJADORES -",1422,6.45,22047,70.43,"",31302
BOLIVAR,2021,7,"ALIANZA AVANZA LIBERTAD",1041,4.72,22047,70.43,"",31302
BOLIVAR,2021,7,"PRIMERO BOLIVAR",539,2.44,22047,70.43,"",31302
BOLIVAR,2021,7,"FRENTE VAMOS CON VOS",338,1.53,22047,70.43,"",31302
BOLIVAR,2021,7,"PARTIDO FEDERAL",225,1.02,22047,70.43,"",31302
BOLIVAR,2023,7,"UNION POR LA PATRIA",9998,43,23250,73.67,"Marcos Emilio PISANO",31558
BOLIVAR,2023,7,"JUNTOS POR EL CAMBIO",9659,41.54,23250,73.67,"Marcos Emilio PISANO",31558
BOLIVAR,2023,7,"LA LIBERTAD AVANZA",3173,13.65,23250,73.67,"Marcos Emilio PISANO",31558
BOLIVAR,2023,7,"FRENTE DE IZQUIERDA Y TRABAJADORES UNIDAD",420,1.81,23250,73.67,"Marcos Emilio PISANO",31558
BOLIVAR,2025,7,"ALIANZA FUERZA PATRIA",7289,37.87,19245,60.58,"",31766
BOLIVAR,2025,7,"ALIANZA LA LIBERTAD AVANZA",4153,21.58,19245,60.58,"",31766
BOLIVAR,2025,7,"ESP. ABIERTO PARA EL DES. Y LA INT. SOCIAL",3602,18.72,19245,60.58,"",31766
BOLIVAR,2025,7,"ALIANZA SOMOS BUENOS AIRES",3384,17.58,19245,60.58,"",31766
BOLIVAR,2025,7,"FTE. DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",474,2.46,19245,60.58,"",31766
BOLIVAR,2025,7,"ALIANZA UNION Y LIBERTAD",343,1.78,19245,60.58,"",31766
BRAGADO,2013,4,"FRENTE RENOVADOR",10467,38.58,27129,78.2,"",34690
BRAGADO,2013,4,"ALIANZA FRENTE PARA LA VICTORIA",9589,35.35,27129,78.2,"",34690
BRAGADO,2013,4,"FRENTE PROGRESISTA CIVICO Y SOCIAL",4775,17.6,27129,78.2,"",34690
BRAGADO,2013,4,"UNIDOS POR LA LIBERTAD Y EL TRABAJO",1683,6.2,27129,78.2,"",34690
BRAGADO,2013,4,"UNION CON FE",416,1.53,27129,78.2,"",34690
BRAGADO,2013,4,"FRENTE POPULAR DEMOCRATICO Y SOCIAL",199,0.73,27129,78.2,"",34690
BRAGADO,2015,4,"ALIANZA CAMBIEMOS BUENOS AIRES",13867,53.22,26054,74.02,"Héctor Vicente GATICA",35200
BRAGADO,2015,4,"ALIANZA FRENTE PARA LA VICTORIA",12187,46.78,26054,74.02,"Héctor Vicente GATICA",35200
BRAGADO,2017,4,"ALIANZA CAMBIEMOS BUENOS AIRES",13711,50.57,27115,74.97,"",36168
BRAGADO,2017,4,"ALIANZA UNIDAD CIUDADANA",8977,33.11,27115,74.97,"",36168
BRAGADO,2017,4,"ALIANZA FRENTE JUSTICIALISTA",2032,7.49,27115,74.97,"",36168
